question,answer
What is the MS in Software Engineering - Enterprise Software Technologies program about?,"The MS in Software Engineering - Enterprise Software Technologies program prepares students to be technical leaders in software development, focusing on distributed N-Tier Client/Server architectures and the latest technologies and trends in Enterprise software development."
What are the required specialization core classes for the MS in Software Engineering - Enterprise Software Technologies program?,"The required specialization core classes are CMPE 273 Enterprise Distributed Systems and CMPE 275 Enterprise Application Development, totaling 6 units."
What are the specialization choice classes for the MS in Software Engineering - Enterprise Software Technologies program?,"The specialization choice classes are CMPE 281 Cloud Technologies, CMPE 283 Virtualization Technologies, CMPE 285 Software Engineering Processes, CMPE 287 Software Quality Assurance and Testing, CMPE 206 Computer Network Design, CMPE 207 Network Programming and Applications, CMPE 257 Machine Learning, CMPE 258 Deep Learning, CMPE 209 Network Security, and CMPE 279 Software Security Technologies, totaling 3 units."
Can I take both required specialization core classes in the same semester?,"No, you must take both required specialization core classes, CMPE 273 and CMPE 275, which total 6 units, and cannot be taken in the same semester."
Can I take more than one specialization choice class in the same semester?,"No, you can only take one specialization choice class, which totals 3 units, in the same semester."
Can I take a specialization choice class that is not listed?,"No, you must choose from the listed specialization choice classes, CMPE 281, CMPE 283, CMPE 285, CMPE 287, CMPE 206, CMPE 207, CMPE 257, CMPE 258, CMPE 209, and CMPE 279."
Can AI students take SE courses?,"Yes, AI students can take SE courses, but please check with the department advisor for any enrollment restrictions or prerequisites."
Can SE students take AI courses?,"Yes, SE students can take AI courses, but please check with the department advisor for any enrollment restrictions or prerequisites."
What is the typical duration of the MS in Software Engineering - Enterprise Software Technologies program?,"The typical duration of the MS in Software Engineering - Enterprise Software Technologies program is 2 years, but may vary depending on individual circumstances."
Can I take the MS in Software Engineering - Enterprise Software Technologies program part-time?,"Yes, the MS in Software Engineering - Enterprise Software Technologies program can be taken part-time, but please check with the department advisor for any enrollment restrictions or prerequisites."
What is the tuition fee for the MS in Software Engineering - Enterprise Software Technologies program?,"The tuition fee for the MS in Software Engineering - Enterprise Software Technologies program varies depending on residency and other factors, please check with the SJSU Bursar's Office for the most up-to-date information."
Can I apply to the MS in Software Engineering - Enterprise Software Technologies program if I do not have a background in software engineering?,"Yes, you can apply to the MS in Software Engineering - Enterprise Software Technologies program if you do not have a background in software engineering, but please check with the department advisor for any prerequisites or requirements."
What is the admission process for the MS in Software Engineering - Enterprise Software Technologies program?,"The admission process for the MS in Software Engineering - Enterprise Software Technologies program involves submitting an application, transcripts, and other required documents, please check with the SJSU Graduate Admissions Office for the most up-to-date information."
Can I transfer credits from another institution to the MS in Software Engineering - Enterprise Software Technologies program?,"Yes, you can transfer credits from another institution to the MS in Software Engineering - Enterprise Software Technologies program, but please check with the department advisor for any transfer credit policies or requirements."
What is the deadline for applying to the MS in Software Engineering - Enterprise Software Technologies program?,"The deadline for applying to the MS in Software Engineering - Enterprise Software Technologies program varies depending on the semester, please check with the SJSU Graduate Admissions Office for the most up-to-date information."
What are the program requirements for MS in Software Engineering at SJSU?,"The program requirements for MS in Software Engineering at SJSU include completing 33 semester units of graduate study, meeting a competency in written English requirement, and completing 9 units of degree core courses, 9 units of required specialization courses, 6 units of elective courses, and 6 units of master's project or thesis."
Can students admitted prior to Fall 2020 follow the old program requirements?,"Yes, students admitted prior to Fall 2020 can continue to follow the course catalog published prior to Fall 2020 and follow the program requirements in effect at the time of their admission."
What are the changes to the program requirements for students admitted for Fall 2020 or later?,"The changes include an increase from 6 to 9 units for degree core classes, new classes for the Data Science specialization, reduction from 9 to 6 units for elective classes, and an increase in total required units from 30 to 33 units for the MS Software Engineering degree."
What are the degree core courses required for the MS in Software Engineering program?,"The degree core courses required are CMPE 272 (Enterprise Software Overview), CMPE 202 (Software Systems Engineering), and CMPE 255 (Data Mining)."
What are the required specialization courses for the MS in Software Engineering program?,Students must take two required specialization core classes from one of the six specializations plus one specialization choice class from one of the other five specializations.
Can I take elective courses from other departments?,"Yes, with prior advisor approval, students can take elective courses from other departments."
What are the culminating experience options for the MS in Software Engineering program?,Students can choose to complete a Master's Project (6 units) or a Master's Thesis (6 units).
What is the competency in written English requirement?,All graduate students are required to complete a competency in written English class as a requirement for graduation. The university catalog specifies alternate ways for meeting the competency in written English requirement.
Can AI students take SE courses?,"No, AI students are not eligible to take SE courses. However, students from other departments may be permitted to take SE courses with prior advisor approval."
What is the total number of units required for the MS in Software Engineering degree?,The total number of units required for the MS in Software Engineering degree is 33 units.
Can I graduate using the Fall 2020 catalog if I was admitted prior to Fall 2020?,"Yes, students admitted prior to Fall 2020 may choose to graduate using the Fall 2020 catalog, but they must meet all new requirements and cannot pick a subset of the requirements."
What are the specialization options for the MS in Software Engineering program?,"The specialization options are Enterprise Software Technologies, Cloud Computing and Virtualization, Software Systems Engineering, Networking Software, Data Science, and Cybersecurity."
Can I take CMPE 294 or ENGR 200W to meet the competency in written English requirement?,"Yes, the Computer Engineering department requires that if a course must be taken to meet the competency in written English requirement, that the course must be CMPE 294 (preferred) or ENGR 200W."
What are the course numbers for the Master's Project and Master's Thesis courses?,"The course numbers for the Master's Project are CMPE 295A and CMPE 295B, and the course numbers for the Master's Thesis are CMPE 299A and CMPE 299B."
Can I take CMPE 295A or CMPE 299A concurrently with other courses?,"No, only one of the two classes can be taken concurrently with CMPE 295A or CMPE 299A, but NOT both, and cannot be taken after CMPE 295A."
What are the requirements for completing the Culminating Experience?,The degree core and specialization core must be completed before beginning the Culminating Experience. It is advised that the specialization choice and CMPE 294/ENGR 200W be completed before taking CMPE 295A or CMPE 299A.
Can I take elective courses from other departments with prior advisor approval?,"Yes, with prior advisor approval, students can take elective courses from other departments."
What are the alternate ways to meet the competency in written English requirement?,The university catalog specifies alternate ways for meeting the competency in written English requirement.
Can I take CMPE 294 or ENGR 200W to meet the competency in written English requirement?,"Yes, the Computer Engineering department requires that if a course must be taken to meet the competency in written English requirement, that the course must be CMPE 294 (preferred) or ENGR 200W."
What are the course numbers for the Master's Project and Master's Thesis courses?,"The course numbers for the Master's Project are CMPE 295A and CMPE 295B, and the course numbers for the Master's Thesis are CMPE 299A and CMPE 299B."
Can I take CMPE 295A or CMPE 299A concurrently with other courses?,"No, only one of the two classes can be taken concurrently with CMPE 295A or CMPE 299A, but NOT both, and cannot be taken after CMPE 295A."
What are the requirements for completing the Culminating Experience?,The degree core and specialization core must be completed before beginning the Culminating Experience. It is advised that the specialization choice and CMPE 294/ENGR 200W be completed before taking CMPE 295A or CMPE 299A.
What are the university admission requirements for the MS in Artificial Intelligence program at SJSU?,"Candidates must meet all university admission requirements, which can be found at https://catalog.sjsu.edu/content.php?catoid=2&navoid=101."
Can I be admitted to the MS in Artificial Intelligence program in classified or conditionally classified standing?,"Yes, applicants can be admitted in either classified or conditionally classified standing. If an applicant's preparation for advanced graduate work is considered inadequate, conditions may include taking preparatory courses to meet course prerequisites or departmental requirements."
What are the specific requirements for acceptance by the Department of Computer Engineering?,"Applicants must satisfy the following requirements: an undergraduate degree in math, physics, computer science, engineering, or a closely related field, with demonstrated college-level courses in programming, data structures, algorithm design, three-semester sequence of calculus, linear algebra, and statistics; an undergraduate GPA of 3.0 or higher; and GRE scores (if applicable)."
Do I need to take the GRE if my undergraduate program is not ABET-accredited?,"Yes, if your undergraduate program is not ABET-accredited, you are required to take the GRE with a minimum score of 305 (q+v) and 3.0 (AWA)."
Can I waive the GRE requirement?,"Yes, the GRE requirement may be waived if you hold a CS/CMPE or related degree from an accredited US institution, or a graduate (MS/PhD) degree in a STEM domain. This is evaluated on a case-by-case basis. Please email [msai@sjsu.edu](mailto:msai@sjsu.edu) with your specifics."
What are the English-language proficiency test requirements for international applicants?,"International applicants must meet SJSU's minimum requirements on English-language proficiency tests, which can be found at /admissions/graduate/admission-requirements/index.php."
What is the minimum undergraduate GPA required for admission?,The minimum undergraduate GPA required for admission is 3.0 or higher.
Can I take SE courses as an AI student?,"Yes, AI students can take SE courses, but please check the course prerequisites and departmental requirements to ensure you meet the necessary conditions."
Can SE students take AI courses?,"Yes, SE students can take AI courses, but please check the course prerequisites and departmental requirements to ensure you meet the necessary conditions."
How do I check my application status?,You can check your application status on the SJSU admissions website or by contacting the Department of Computer Engineering directly.
What is the deadline for applying to the MS in Artificial Intelligence program?,"The deadline for applying to the MS in Artificial Intelligence program varies, please check the SJSU admissions website for the most up-to-date information."
Can I apply to the MS in Artificial Intelligence program if I do not have a background in computer science or engineering?,"While a background in computer science or engineering is preferred, it is not required. However, you must demonstrate college-level courses in programming, data structures, algorithm design, three-semester sequence of calculus, linear algebra, and statistics."
How do I contact the Department of Computer Engineering for more information?,You can email [msai@sjsu.edu](mailto:msai@sjsu.edu) or contact the Department of Computer Engineering directly for more information.
What is the MS in Software Engineering - Cybersecurity Specialization program about?,"The MS in Software Engineering - Cybersecurity Specialization program is designed to provide students with hands-on experience in design, development, testing, and deployment of secure systems, as well as a solid understanding of organizational risk management and records integrity."
Why is cybersecurity important in today's digital world?,"Cybersecurity is of the highest priority for consumers, business leaders, and government officials, as fewer than 10 percent of the estimated 30,000 skilled security talent needed is currently available in the workforce."
What are the required specialization core classes for the MS in Software Engineering - Cybersecurity Specialization program?,"The required specialization core classes are CMPE 209 Network Security and CMPE 279 Software Security Technologies, which are both 3-unit classes."
How many units are required for the specialization choice classes?,"The specialization choice classes require 3 units, and students must take one of the following classes: CMPE 273, CMPE 275, CMPE 281, CMPE 283, CMPE 285, CMPE 287, CMPE 206, CMPE 207, CMPE 257, or CMPE 258."
Can I take CMPE 209 and CMPE 279 in the same semester?,"Yes, you can take both CMPE 209 and CMPE 279 in the same semester, as they are both 3-unit classes and are required for the specialization core."
Can I take more than one specialization choice class?,"No, you can only take one specialization choice class, as it is a 3-unit class and is required for the specialization."
Can I take CMPE 257 and CMPE 258 in the same semester?,"Yes, you can take both CMPE 257 and CMPE 258 in the same semester, as they are both 3-unit classes and are part of the specialization choice options."
Can I take this program as an AI student?,"Yes, AI students can take this program, but they must meet the same admission requirements as other students."
Can I take this program as a part-time student?,"Yes, this program can be taken part-time, but students must meet the same admission requirements as full-time students."
What is the typical duration of the MS in Software Engineering - Cybersecurity Specialization program?,"The typical duration of the program is 2 years, but it can vary depending on the student's course load and other factors."
Can I transfer credits from another institution to this program?,"Yes, students can transfer credits from another institution to this program, but they must meet the transfer credit requirements and have the credits approved by the department."
What is the tuition fee for this program?,"The tuition fee for this program is $1,440 per unit, and students must also pay other fees such as the student services fee and the health services fee."
Can I get financial aid for this program?,"Yes, students can get financial aid for this program, but they must meet the financial aid requirements and apply for aid through the SJSU financial aid office."
What is the deadline for applying to this program?,"The deadline for applying to this program is typically in the fall semester, but students should check the SJSU website for the most up-to-date information on application deadlines."
Can I get a scholarship for this program?,"Yes, students can get a scholarship for this program, but they must meet the scholarship requirements and apply for scholarships through the SJSU scholarship office."
What is the admission requirement for this program?,"The admission requirement for this program is a bachelor's degree in a related field, a minimum GPA of 3.0, and a statement of purpose."
Can I get a waiver for the English proficiency requirement?,"Yes, students can get a waiver for the English proficiency requirement if they have a bachelor's degree from a US institution or if they have a TOEFL score of 100 or higher."
What is the English proficiency requirement for this program?,"The English proficiency requirement for this program is a TOEFL score of 100 or higher, or a bachelor's degree from a US institution."
Can I get a conditional admission to this program?,"Yes, students can get a conditional admission to this program if they do not meet the admission requirements, but they have the potential to succeed in the program."
What is the conditional admission requirement for this program?,"The conditional admission requirement for this program is a bachelor's degree in a related field, a minimum GPA of 2.5, and a statement of purpose."
Can I get a transfer credit for a course I took at another institution?,"Yes, students can get a transfer credit for a course they took at another institution, but they must meet the transfer credit requirements and have the credits approved by the department."
What is the transfer credit requirement for this program?,"The transfer credit requirement for this program is a minimum of 3.0 GPA in the transferred courses, and the courses must be equivalent to the SJSU courses."
Can I take a course as a non-degree student?,"Yes, students can take a course as a non-degree student, but they must meet the non-degree student requirements and apply for non-degree student status through the SJSU registrar's office."
What is the non-degree student requirement for this program?,"The non-degree student requirement for this program is a bachelor's degree in a related field, a minimum GPA of 2.5, and a statement of purpose."
Can I get a certificate in cybersecurity?,"Yes, students can get a certificate in cybersecurity, but they must meet the certificate requirements and apply for the certificate through the SJSU certificate office."
What is the certificate requirement for this program?,"The certificate requirement for this program is a minimum of 12 units in the cybersecurity courses, and the courses must be equivalent to the SJSU courses."
Can I get a waiver for the certificate requirement?,"Yes, students can get a waiver for the certificate requirement if they have a bachelor's degree in a related field and a minimum GPA of 3.0."
What is the waiver requirement for the certificate requirement?,The waiver requirement for the certificate requirement is a bachelor's degree in a related field and a minimum GPA of 3.0.
What is the MS in Software Engineering program at SJSU?,"The MS in Software Engineering program, offered by the Department of Computer Engineering, provides students with an educational experience that builds on traditional computer science and engineering and takes an integrative approach to software engineering."
What are the specializations offered in the MSSE program?,"The MSSE program offers specializations in Enterprise Software Technologies, Cloud Computing and Virtualization, Software Systems Engineering, Data Science, Cybersecurity, and Networking Software."
Can students with undergraduate degrees in other engineering or science disciplines apply to the MSSE program?,"Yes, the MSSE program welcomes students with undergraduate degrees in other engineering or science disciplines and strong programming skills."
What is the class schedule like for the MSSE program?,Class schedules are designed for the convenience of employed engineers who wish to pursue graduate work on a part-time basis.
What are the program requirements for the MSSE program?,"The program requirements include degree core, specialization classes, electives, and a culminating experience."
Where can I find more information about the MSSE program requirements?,The MSSE program requirements can be found on the Department of Computer Engineering website at <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-program-requirements.php>
What are the six specializations offered in the MSSE program?,"The six specializations are Enterprise Software Technologies, Cloud Computing and Virtualization, Software Systems Engineering, Data Science, Cybersecurity, and Networking Software."
Where can I find more information about each specialization?,"More information about each specialization can be found on the Department of Computer Engineering website at <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-enterprise-software-technologies.php>, <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-cloud-computing.php>, <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-software-systems-engineering.php>, <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-data-science.php>, <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-cybersecurity.php>, and <https://cmpe.sjsu.edu/academic/ms-software-engineering/msse-networking-software.php>"
What are the program learning outcomes for the MSSE program?,"The program learning outcomes are: (a) demonstrate an understanding of advanced knowledge of the practice of software engineering, (b) tackle complex engineering problems and tasks, (c) demonstrate leadership and teamwork skills, (d) be aware of ethical, economic, and environmental implications, (e) advance successfully in the engineering profession, and (f) communicate effectively."
Can AI students take SE courses?,"No, AI students are not eligible to take SE courses, as the program is designed for students with a strong foundation in computer science and engineering."
Can I take courses on a fixed schedule of evening classes?,"Yes, the SJSU Davidson College of Engineering Extended Studies offers off-campus, cohort programs in Cloud/Mobile Computing, Data Science, and Cybersecurity, which confer a MS Software Engineering degree."
Where can I find more information about the Engineering Extended Studies programs?,More information about the Engineering Extended Studies programs can be found on the SJSU Davidson College of Engineering Extended Studies website at <https://ees.sjsu.edu/>
